Date,Close/Last,Volume,Open,High,Low
04/03/2024,65674.00,N/A,66227.20,66349.00,65541.00
04/02/2024,66135.40,N/A,66712.80,66135.40,64559.00
04/01/2024,69828.90,N/A,71332.00,71329.30,68175.90
03/31/2024,70615.80,N/A,69918.60,71329.30,70543.60
03/30/2024,69926.60,N/A,69781.00,70143.20,69576.60
03/29/2024,69820.00,N/A,70446.80,70158.90,69736.10
03/28/2024,70447.10,N/A,69302.40,70907.00,70315.60
03/27/2024,69240.40,N/A,70382.10,69913.70,68956.90
03/26/2024,70443.30,N/A,70438.60,70714.10,69839.30
03/25/2024,70508.40,N/A,67322.50,70603.10,69754.80
03/24/2024,66979.50,N/A,63980.10,67288.30,66395.00
03/23/2024,64118.40,N/A,63570.40,64684.00,63938.10
03/22/2024,63389.00,N/A,65968.60,64324.30,63074.90
03/21/2024,65947.20,N/A,66746.40,66133.90,65151.80
03/20/2024,66467.40,N/A,61826.50,68161.70,66463.60
03/19/2024,62394.00,N/A,65860.50,63397.20,61859.50
03/15/2024,68361.40,N/A,73589.30,72398.10,67105.80
03/14/2024,68937.10,N/A,73257.10,72398.10,67110.10
03/13/2024,73237.70,N/A,72034.30,73285.30,72530.50
03/12/2024,72074.40,N/A,71606.20,72193.50,71338.40
03/11/2024,71670.10,N/A,68600.20,72467.10,71519.90
03/10/2024,68506.20,N/A,69169.70,68966.10,67452.80
03/09/2024,69484.50,N/A,68298.60,69676.40,68250.30
03/08/2024,68289.50,N/A,67152.10,68343.70,67923.90
03/07/2024,67072.90,N/A,65862.10,67270.90,66787.80
